Start,End,Name,Text
770,2610,Jacob,"Hey, everybody"
3420,9780,Jacob,"Julia's, she's rushing, she's coming, she's rushing, she's going so fast, I see her shadow"
11970,15090,Jacob,I saw the shadow of you running down the hallway
17390,25020,Jacob,She's getting a drink and she's calling a cab and she's having a smoke and she's taking a drag
27210,29730,Jacob,She was frantically looking for her wife
29730,32360,Julia,Where is she?
33690,37460,Julia,I climbed so- I fell through so many stairs
38550,42330,Julia,"Through so many holes, they shoved my arm in so many holes"
42330,44880,Jacob,So much goop on your arm
45470,47750,Jacob,"Hi, Nathan, thanks for the raid"
47750,49300,Julia,"Hi, Nathan"
48960,50630,Jacob,"Appreciate it, Nathan"
52120,54870,Jacob,"I'm sorry to have rushed you, Julia"
54870,56150,Julia,It's okay
56150,63000,Jacob,"Julia had to go to the bathroom unexpectedly, as many of us on this stream do right after the stream starts"
63270,64340,Julia,Yeah
63850,65960,Jacob,It's a thing that happens sometimes
65960,69600,Julia,"Well, okay, so especially when you're pregnant,"
70510,71290,Jacob,You're what?
73230,77310,Julia,We keep getting people who are like
79590,81890,Julia,We keep getting people who
82430,89580,Julia,"find out in really roundabout ways and they're like, they'll make a joke about me being pregnant and they're like, haha, it sounds like you're pregnant and I'm like"
90290,91640,Jacob,"Like, do they know?"
91640,92370,Julia,Yeah
93290,97580,Julia,"Yeah, I am. Anyway, when you're pregnant, sometimes"
98960,101660,Julia,you like very suddenly have to use the bathroom
103080,107060,Jacob,"Yeah, that's true. And sometimes I just have to use the bathroom really suddenly"
107590,108480,Jacob,Just in general
108480,111520,Julia,"Yeah, sorry about that"
111350,113480,Jacob,"When it hits, it hits, you know?"
112770,114490,Julia,I was going to make a whole drink
114590,117730,Jacob,"When it hits, we shits. That's how we do it here"
118810,119640,Julia,Kind of what happened
119400,120870,Jacob,There's no shame in our game
120870,123310,Julia,I'm entering my mullet era
125340,126200,Julia,Don't jud
126200,132220,Jacob,"No, it looks good with like the... you put some product in. -I did, yeah. -Yeah, you got like the slick back. -Yeah. -I think it looks nice"
128870,129490,Julia,"I did, yeah"
130870,134370,Julia,"Yeah. -I think it looks nice. -I was like, I gotta go"
134370,135030,Jacob,Yeah
135570,137020,Julia,So yeah
137840,139800,Jacob,"Because you're trying to grow it back out, right?"
139890,141910,Julia,"Yeah, a little bit"
141320,142030,Jacob,So you can't
144480,145570,Jacob,Short thing
145520,146350,Julia,Short bang
146110,147600,Jacob,A nice short thing
150350,152020,Jacob,"Well, guess what? We're here"
152460,153490,Julia,Yeah
153990,161420,Jacob,"Oh, wait, somebody said that because of my draw class, they were able to set up OBS and try their hand at streaming. Yay!"
159440,161030,Julia,Yeah!
162230,162900,Julia,That's awesome
162900,172270,Jacob,"That is awesome. I'm glad that class was helpful to someone because it's one where like when I was in the middle of it, I was like, I feel like I'm in the weeds here"
172340,173300,Julia,Right
173250,178780,Jacob,"I was like, I feel like I'm really... I forgot going in how much detail there is"
178780,179630,Julia,Yeah
179630,184030,Jacob,"And then I was like, I don't know if anyone's going to, if this is going to mean anything to anyone"
184030,184820,Julia,Yeah
184820,188330,Jacob,But all I can do is continue. I have to keep going to the other side
188740,192890,Julia,"Sometimes when I make a draw class, I"
193580,194980,Julia,I lose
195890,198260,Julia,sight of what I'm supposed to be teaching
200130,209090,Julia,"People are like, hey, can you teach a horror class? And I'm like, yeah, sure. But then I'm like, what is horror? It depends on like the story"
209920,212230,Julia,depends on what you're trying to portray
212230,216130,Jacob,"It's so true, both cats are showing up"
214980,215990,Julia,And I'm like
216520,220030,Julia,"Then I'm like, I guess what they're asking is like body horror, but like"
221210,224920,Julia,"That's not scary to everyone, that's not what was asked, I was asked to do horror"
224680,226810,Jacob,What about emotional horror?
226880,232870,Julia,What about like setting the tension? What about the payoff? -What about establishing a norm and then subverting it?
233850,235400,Julia,I got this jacket
236830,238280,Julia,about 10 years ago
240120,242710,Julia,"uh, from Bass Outlet"
242890,243990,Jacob,Bass
243990,250160,Julia,"Bias. Depends, this is a Kevin James Stanton"
251580,253720,Jacob,I thought you were just going to say Kevin James
253240,254790,Julia,This is a Kevin James
254970,256910,Jacob,It's a Kevin James original
257620,263060,Jacob,"I don't know if y'all know this, but Kevin James, he tables at a lot of small cons and events"
263060,274180,Julia,"This was given to us by some people we were tabling near at Mocha. -It says, be good, do good, and I felt like that's always what I strive for"
275020,283880,Julia,"This one's from some shitty YouTube channel, and then this one's from some show they do on the shitty YouTube channel, so"
284930,285640,Julia,"You know, whatever"
285630,288420,Jacob,Julia loves representing shitty YouTube channels
288060,290290,Julia,"I love it, I have money in this jacket"
290290,291710,Jacob,Money? How much?
292670,293720,Julia,Ten
294410,296200,Jacob,"11, 12"
294430,296380,Julia,"11, 12, 13"
300540,306390,Jacob,That's big sandwich money right there. -You could get a big sandwich for that amount
302310,304670,Julia,That is a big sandwich money
306390,310510,Julia,"Woo! Put that right in my pocket, so I'll forget about it later"
307450,309530,Jacob,"Huge, huge for us"
311080,314690,Julia,"Um, I... someone... some may say"
315270,317830,Julia,that will be done with Silent Hill today
318510,322630,Jacob,"I don't know if that's true or not though. -It's going to be this one or the next one, I think"
322890,325830,Julia,"Well, I wore this outfit in case it was the last one"
327380,332800,Jacob,Did you see that Khaz made the Matrix edit and put it on our YouTube shorts?
332800,333920,Julia,I did not
333810,339940,Jacob,"I didn't know till I was sitting here looking at chat and someone in chat was talking about it and then I went and watched it, it's great"
338990,339580,Julia,I'm scared too
340480,341680,Jacob,Kaz came through
341680,342930,Julia,That's awesome
343180,346230,Jacob,So we have the Morpheus
346960,351410,Jacob,he's beginning to believe at it with James dodging pyramid head
351820,354910,Julia,"Oh, that's great, I'm excited to watch it"
356340,366740,Jacob,"And it's really funny with the seriousness of Morpheus saying he's beginning to believe and then us just like crying, laughing while James just dodges over and over against a wall"
361810,362110,Julia,Yeah
370370,371110,Julia,Yeah
371630,376370,Julia,"Uh, yeah, I was legitimately like crying with laughter"
377000,378740,Julia,"Um, let's get into it, I guess"
378740,380830,Jacob,Y'all play the game
382110,383750,Jacob,Got to unmute this
383750,387000,Julia,It's never a good energy to like run into the stream
388020,389010,Julia,It's like
389750,392540,Jacob,"No, you feel like you weren't like mentally"
392540,395470,Julia,"No, I feel... I feel discombobulated"
395000,396130,Jacob,You feel frazzled
396130,397970,Julia,"I feel frazzled, that's a good word"
398500,403940,Jacob,I feel like I should say too going into this that like I'm like stupid today
405230,410170,Jacob,"I'm just not... I keep making little mistakes today, I keep doing dumb stuff"
410170,416990,Julia,"It's okay, I've been... I keep telling... well, Jacob and I both fell asleep at the same time in different rooms"
419470,426440,Julia,"And then I woke up from my nap and then I was like, immediately, I could go back to bed"
427710,432450,Julia,"I've been playing Dragon Age, so I felt like I could dodge into those barrels"
436160,438250,Jacob,"You can keep going, this doesn't affect you at all"
438370,440820,Julia,"I was wondering if I would have to take over, you know"
442960,444450,Jacob,"Take a... Oh, with the mouse"
444450,445980,Julia,"Yeah, yeah, yeah, since you have Olive"
445980,447300,Jacob,Is it boat time?
447300,448870,Julia,I think I'm supposed to take this bow
448870,450080,Jacob,You're going to take this bag?
450080,453510,Julia,I'm gonna take that boat once I see if there's any ammo here
455250,460410,Jacob,I was thinking today that like lately I feel like for those of you who are
461150,465940,Jacob,"Brandon Sanderson, Stormlight Archive Readers, I have not started the new book yet"
466080,467310,Julia,Road trip
467310,469070,Jacob,"That's a shitty road trip, man"
469660,476150,Jacob,"I've not started the new book yet and this is not a spoiler, but oftentimes I feel like"
477100,477570,Jacob,Um
478250,483390,Jacob,"In that book series, there's a character called Teravangian or Teravangian, I don't know how you pronounce his name"
484190,491900,Jacob,"But one of his whole things is that like some days he wakes up and he's like a super genius and then other days most of the time he wakes up and he's like,"
492620,500690,Jacob,"a dumbass, I've been feeling like him lately, where some days I wake up and I'm like, I'm just stupid today"
501670,506750,Jacob,"And then other days I wake up and I'm like, I'm the smartest man who ever lived, I can do anything"
509470,511440,Jacob,But it's happening less and less
512280,518780,Jacob,"less and less I wake up and feel like the smartest man who ever lived, -and more and more I wake up and feel like a big idiot"
521840,526220,Julia,I was trying to show our sister-in-law something and
527500,535660,Julia,"I was like, I cannot remember where I put this thing. -I was like, my brain's been in the trash and she was like, -Oh, you're never getting it back"
536430,537510,Julia,"I was like, okay, cool"
537510,538860,Jacob,The brain is gone
539010,540380,Julia,Can I run? There we go
541650,544140,Julia,"All right, this is going to be a cutscene, so"
543810,544840,Jacob,"Yeah, yeah, yeah"
545330,546570,Julia,Let's lock in
549140,549980,Julia,It's me
550880,552040,Julia,I'm the bad man
561660,563360,Jacob,I'm on a boat starts playing
584610,585340,Julia,Oh
587410,588560,Julia,Boy
588240,589550,Jacob,Who's ready to paddle?
592510,593570,Julia,Right on
