Layer,Start,End,Style,Name,MarginL,MarginR,MarginV,Effect,Text
0,0:00:00.77,0:00:02.61,Default,Jacob,0,0,0,,"Hey, everybody"
0,0:00:03.42,0:00:09.78,Default,Jacob,0,0,0,,"Julia's, she's rushing, she's coming, she's rushing, she's going so fast, I see her shadow"
0,0:00:11.97,0:00:15.09,Default,Jacob,0,0,0,,I saw the shadow of you running down the hallway
0,0:00:17.39,0:00:25.02,Default,Jacob,0,0,0,,She's getting a drink and she's calling a cab and she's having a smoke and she's taking a drag
0,0:00:27.21,0:00:29.73,Default,Jacob,0,0,0,,She was frantically looking for her wife
0,0:00:29.73,0:00:32.36,Default,Julia,0,0,0,,Where is she?
0,0:00:33.69,0:00:37.46,Default,Julia,0,0,0,,I climbed so- I fell through so many stairs
0,0:00:38.55,0:00:42.33,Default,Julia,0,0,0,,"Through so many holes, they shoved my arm in so many holes"
0,0:00:42.33,0:00:44.88,Default,Jacob,0,0,0,,So much goop on your arm
0,0:00:45.47,0:00:47.75,Default,Jacob,0,0,0,,"Hi, Nathan, thanks for the raid"
0,0:00:47.75,0:00:49.30,Default,Julia,0,0,0,,"Hi, Nathan"
0,0:00:48.96,0:00:50.63,Default,Jacob,0,0,0,,"Appreciate it, Nathan"
0,0:00:52.12,0:00:54.87,Default,Jacob,0,0,0,,"I'm sorry to have rushed you, Julia"
0,0:00:54.87,0:00:56.15,Default,Julia,0,0,0,,It's okay
0,0:00:56.15,0:01:03.00,Default,Jacob,0,0,0,,"Julia had to go to the bathroom unexpectedly, as many of us on this stream do right after the stream starts"
0,0:01:03.27,0:01:04.34,Default,Julia,0,0,0,,Yeah
0,0:01:03.85,0:01:05.96,Default,Jacob,0,0,0,,It's a thing that happens sometimes
0,0:01:05.96,0:01:09.60,Default,Julia,0,0,0,,"Well, okay, so especially when you're pregnant,"
0,0:01:10.51,0:01:11.29,Default,Jacob,0,0,0,,You're what?
0,0:01:13.23,0:01:17.31,Default,Julia,0,0,0,,We keep getting people who are like
0,0:01:19.59,0:01:21.89,Default,Julia,0,0,0,,We keep getting people who
0,0:01:22.43,0:01:29.58,Default,Julia,0,0,0,,"find out in really roundabout ways and they're like, they'll make a joke about me being pregnant and they're like, haha, it sounds like you're pregnant and I'm like"
0,0:01:30.29,0:01:31.64,Default,Jacob,0,0,0,,"Like, do they know?"
0,0:01:31.64,0:01:32.37,Default,Julia,0,0,0,,Yeah
0,0:01:33.29,0:01:37.58,Default,Julia,0,0,0,,"Yeah, I am. Anyway, when you're pregnant, sometimes"
0,0:01:38.96,0:01:41.66,Default,Julia,0,0,0,,you like very suddenly have to use the bathroom
0,0:01:43.08,0:01:47.06,Default,Jacob,0,0,0,,"Yeah, that's true. And sometimes I just have to use the bathroom really suddenly"
0,0:01:47.59,0:01:48.48,Default,Jacob,0,0,0,,Just in general
0,0:01:48.48,0:01:51.52,Default,Julia,0,0,0,,"Yeah, sorry about that"
0,0:01:51.35,0:01:53.48,Default,Jacob,0,0,0,,"When it hits, it hits, you know?"
0,0:01:52.77,0:01:54.49,Default,Julia,0,0,0,,I was going to make a whole drink
0,0:01:54.59,0:01:57.73,Default,Jacob,0,0,0,,"When it hits, we shits. That's how we do it here"
0,0:01:58.81,0:01:59.64,Default,Julia,0,0,0,,Kind of what happened
0,0:01:59.40,0:02:00.87,Default,Jacob,0,0,0,,There's no shame in our game
0,0:02:00.87,0:02:03.31,Default,Julia,0,0,0,,I'm entering my mullet era
0,0:02:05.34,0:02:06.20,Default,Julia,0,0,0,,Don't jud
0,0:02:06.20,0:02:12.22,Default,Jacob,0,0,0,,"No, it looks good with like the... you put some product in. -I did, yeah. -Yeah, you got like the slick back. -Yeah. -I think it looks nice"
0,0:02:08.87,0:02:09.49,Default,Julia,0,0,0,,"I did, yeah"
0,0:02:10.87,0:02:14.37,Default,Julia,0,0,0,,"Yeah. -I think it looks nice. -I was like, I gotta go"
0,0:02:14.37,0:02:15.03,Default,Jacob,0,0,0,,Yeah
0,0:02:15.57,0:02:17.02,Default,Julia,0,0,0,,So yeah
0,0:02:17.84,0:02:19.80,Default,Jacob,0,0,0,,"Because you're trying to grow it back out, right?"
0,0:02:19.89,0:02:21.91,Default,Julia,0,0,0,,"Yeah, a little bit"
0,0:02:21.32,0:02:22.03,Default,Jacob,0,0,0,,So you can't
0,0:02:24.48,0:02:25.57,Default,Jacob,0,0,0,,Short thing
0,0:02:25.52,0:02:26.35,Default,Julia,0,0,0,,Short bang
0,0:02:26.11,0:02:27.60,Default,Jacob,0,0,0,,A nice short thing
0,0:02:30.35,0:02:32.02,Default,Jacob,0,0,0,,"Well, guess what? We're here"
0,0:02:32.46,0:02:33.49,Default,Julia,0,0,0,,Yeah
0,0:02:33.99,0:02:41.42,Default,Jacob,0,0,0,,"Oh, wait, somebody said that because of my draw class, they were able to set up OBS and try their hand at streaming. Yay!"
0,0:02:39.44,0:02:41.03,Default,Julia,0,0,0,,Yeah!
0,0:02:42.23,0:02:42.90,Default,Julia,0,0,0,,That's awesome
0,0:02:42.90,0:02:52.27,Default,Jacob,0,0,0,,"That is awesome. I'm glad that class was helpful to someone because it's one where like when I was in the middle of it, I was like, I feel like I'm in the weeds here"
0,0:02:52.34,0:02:53.30,Default,Julia,0,0,0,,Right
0,0:02:53.25,0:02:58.78,Default,Jacob,0,0,0,,"I was like, I feel like I'm really... I forgot going in how much detail there is"
0,0:02:58.78,0:02:59.63,Default,Julia,0,0,0,,Yeah
0,0:02:59.63,0:03:04.03,Default,Jacob,0,0,0,,"And then I was like, I don't know if anyone's going to, if this is going to mean anything to anyone"
0,0:03:04.03,0:03:04.82,Default,Julia,0,0,0,,Yeah
0,0:03:04.82,0:03:08.33,Default,Jacob,0,0,0,,But all I can do is continue. I have to keep going to the other side
0,0:03:08.74,0:03:12.89,Default,Julia,0,0,0,,"Sometimes when I make a draw class, I"
0,0:03:13.58,0:03:14.98,Default,Julia,0,0,0,,I lose
0,0:03:15.89,0:03:18.26,Default,Julia,0,0,0,,sight of what I'm supposed to be teaching
0,0:03:20.13,0:03:29.09,Default,Julia,0,0,0,,"People are like, hey, can you teach a horror class? And I'm like, yeah, sure. But then I'm like, what is horror? It depends on like the story"
0,0:03:29.92,0:03:32.23,Default,Julia,0,0,0,,depends on what you're trying to portray
0,0:03:32.23,0:03:36.13,Default,Jacob,0,0,0,,"It's so true, both cats are showing up"
0,0:03:34.98,0:03:35.99,Default,Julia,0,0,0,,And I'm like
0,0:03:36.52,0:03:40.03,Default,Julia,0,0,0,,"Then I'm like, I guess what they're asking is like body horror, but like"
0,0:03:41.21,0:03:44.92,Default,Julia,0,0,0,,"That's not scary to everyone, that's not what was asked, I was asked to do horror"
0,0:03:44.68,0:03:46.81,Default,Jacob,0,0,0,,What about emotional horror?
0,0:03:46.88,0:03:52.87,Default,Julia,0,0,0,,What about like setting the tension? What about the payoff? -What about establishing a norm and then subverting it?
0,0:03:53.85,0:03:55.40,Default,Julia,0,0,0,,I got this jacket
0,0:03:56.83,0:03:58.28,Default,Julia,0,0,0,,about 10 years ago
0,0:04:00.12,0:04:02.71,Default,Julia,0,0,0,,"uh, from Bass Outlet"
0,0:04:02.89,0:04:03.99,Default,Jacob,0,0,0,,Bass
0,0:04:03.99,0:04:10.16,Default,Julia,0,0,0,,"Bias. Depends, this is a Kevin James Stanton"
0,0:04:11.58,0:04:13.72,Default,Jacob,0,0,0,,I thought you were just going to say Kevin James
0,0:04:13.24,0:04:14.79,Default,Julia,0,0,0,,This is a Kevin James
0,0:04:14.97,0:04:16.91,Default,Jacob,0,0,0,,It's a Kevin James original
0,0:04:17.62,0:04:23.06,Default,Jacob,0,0,0,,"I don't know if y'all know this, but Kevin James, he tables at a lot of small cons and events"
0,0:04:23.06,0:04:34.18,Default,Julia,0,0,0,,"This was given to us by some people we were tabling near at Mocha. -It says, be good, do good, and I felt like that's always what I strive for"
0,0:04:35.02,0:04:43.88,Default,Julia,0,0,0,,"This one's from some shitty YouTube channel, and then this one's from some show they do on the shitty YouTube channel, so"
0,0:04:44.93,0:04:45.64,Default,Julia,0,0,0,,"You know, whatever"
0,0:04:45.63,0:04:48.42,Default,Jacob,0,0,0,,Julia loves representing shitty YouTube channels
0,0:04:48.06,0:04:50.29,Default,Julia,0,0,0,,"I love it, I have money in this jacket"
0,0:04:50.29,0:04:51.71,Default,Jacob,0,0,0,,Money? How much?
0,0:04:52.67,0:04:53.72,Default,Julia,0,0,0,,Ten
0,0:04:54.41,0:04:56.20,Default,Jacob,0,0,0,,"11, 12"
0,0:04:54.43,0:04:56.38,Default,Julia,0,0,0,,"11, 12, 13"
0,0:05:00.54,0:05:06.39,Default,Jacob,0,0,0,,That's big sandwich money right there. -You could get a big sandwich for that amount
0,0:05:02.31,0:05:04.67,Default,Julia,0,0,0,,That is a big sandwich money
0,0:05:06.39,0:05:10.51,Default,Julia,0,0,0,,"Woo! Put that right in my pocket, so I'll forget about it later"
0,0:05:07.45,0:05:09.53,Default,Jacob,0,0,0,,"Huge, huge for us"
0,0:05:11.08,0:05:14.69,Default,Julia,0,0,0,,"Um, I... someone... some may say"
0,0:05:15.27,0:05:17.83,Default,Julia,0,0,0,,that will be done with Silent Hill today
0,0:05:18.51,0:05:22.63,Default,Jacob,0,0,0,,"I don't know if that's true or not though. -It's going to be this one or the next one, I think"
0,0:05:22.89,0:05:25.83,Default,Julia,0,0,0,,"Well, I wore this outfit in case it was the last one"
0,0:05:27.38,0:05:32.80,Default,Jacob,0,0,0,,Did you see that Khaz made the Matrix edit and put it on our YouTube shorts?
0,0:05:32.80,0:05:33.92,Default,Julia,0,0,0,,I did not
0,0:05:33.81,0:05:39.94,Default,Jacob,0,0,0,,"I didn't know till I was sitting here looking at chat and someone in chat was talking about it and then I went and watched it, it's great"
0,0:05:38.99,0:05:39.58,Default,Julia,0,0,0,,I'm scared too
0,0:05:40.48,0:05:41.68,Default,Jacob,0,0,0,,Kaz came through
0,0:05:41.68,0:05:42.93,Default,Julia,0,0,0,,That's awesome
0,0:05:43.18,0:05:46.23,Default,Jacob,0,0,0,,So we have the Morpheus
0,0:05:46.96,0:05:51.41,Default,Jacob,0,0,0,,he's beginning to believe at it with James dodging pyramid head
0,0:05:51.82,0:05:54.91,Default,Julia,0,0,0,,"Oh, that's great, I'm excited to watch it"
0,0:05:56.34,0:06:06.74,Default,Jacob,0,0,0,,"And it's really funny with the seriousness of Morpheus saying he's beginning to believe and then us just like crying, laughing while James just dodges over and over against a wall"
0,0:06:01.81,0:06:02.11,Default,Julia,0,0,0,,Yeah
0,0:06:10.37,0:06:11.11,Default,Julia,0,0,0,,Yeah
0,0:06:11.63,0:06:16.37,Default,Julia,0,0,0,,"Uh, yeah, I was legitimately like crying with laughter"
0,0:06:17.00,0:06:18.74,Default,Julia,0,0,0,,"Um, let's get into it, I guess"
0,0:06:18.74,0:06:20.83,Default,Jacob,0,0,0,,Y'all play the game
0,0:06:22.11,0:06:23.75,Default,Jacob,0,0,0,,Got to unmute this
0,0:06:23.75,0:06:27.00,Default,Julia,0,0,0,,It's never a good energy to like run into the stream
0,0:06:28.02,0:06:29.01,Default,Julia,0,0,0,,It's like
